timestamp_us,w/x,w/y,w/theta,IR[0],IR[1],IR[2],IR[3],state
12100000,-0.4440,0.4615,19.1438,76.07,112.60,52.79,50.99,1
12200000,-0.3984,0.4820,19.2729,50.72,98.37,51.32,51.51,1
12300000,-0.3558,0.5081,19.3989,68.43,69.42,53.50,50.16,1
12400000,-0.3166,0.5392,19.5218,106.85,53.69,52.64,53.71,1
12500000,-0.2815,0.5748,19.6415,131.05,57.71,54.69,52.10,1
12600000,-0.2508,0.6143,19.7579,153.27,95.48,51.20,50.28,1
12700000,-0.2247,0.6569,19.8711,158.71,135.93,53.54,50.13,1
12800000,-0.2034,0.7022,19.9810,148.34,158.93,51.43,54.35,1
12900000,-0.1871,0.7494,20.0875,131.77,139.74,50.78,54.97,1
13000000,-0.1757,0.7981,20.1906,122.33,91.05,52.97,51.73,1
13100000,-0.1692,0.8477,20.2903,117.46,62.08,50.54,54.95,1
13200000,-0.1675,0.8977,20.3864,118.38,63.83,51.73,53.51,1
13300000,-0.1704,0.9476,20.4791,114.56,110.24,50.44,54.03,1
13400000,-0.1778,0.9970,20.5681,125.82,144.61,52.01,51.56,1
13500000,-0.1893,1.0457,20.6536,130.91,151.58,54.15,50.74,1
13600000,-0.2048,1.0932,20.7355,147.97,115.31,51.39,51.17,1
13700000,-0.2240,1.1394,20.8136,150.15,69.65,51.20,52.84,1
13800000,-0.2465,1.1840,20.8881,155.84,57.43,51.17,54.71,1
13900000,-0.2722,1.2269,20.9589,141.33,79.20,51.55,53.28,1
14000000,-0.3006,1.2680,21.0259,119.23,116.02,50.55,50.10,1
14100000,-0.3316,1.3073,21.0891,91.85,150.57,53.89,51.92,1
14200000,-0.3649,1.3446,21.1485,57.55,155.39,50.93,51.98,1
14300000,-0.4002,1.3800,21.2041,59.85,134.94,54.20,52.50,1
14400000,-0.4373,1.4136,21.2558,74.83,107.42,53.79,51.72,1
14500000,-0.4759,1.4453,21.3036,107.73,75.23,52.43,54.85,1
14600000,-0.5159,1.4753,21.3476,145.81,57.37,51.61,53.95,1
14700000,-0.5571,1.5037,21.3876,154.80,52.91,54.57,51.01,1
14800000,-0.5993,1.5305,21.4238,130.90,72.71,53.75,52.71,1
14900000,-0.6423,1.5560,21.4559,86.32,94.14,50.67,52.27,1
15000000,-0.6860,1.5803,21.4842,63.00,117.91,52.70,54.09,1
15100000,-0.7303,1.6035,21.5084,58.33,133.00,52.92,52.94,1
15200000,-0.7750,1.6258,21.5287,92.69,153.28,53.55,52.04,1
15300000,-0.8201,1.6474,21.5450,135.17,151.87,50.09,52.10,1
15400000,-0.8655,1.6684,21.5573,149.98,155.11,53.50,52.14,1
15500000,-0.9110,1.6891,21.5656,130.58,136.84,51.43,54.86,1
15600000,-0.9567,1.7095,21.5700,89.02,121.71,54.57,50.82,1
15700000,-1.0023,1.7299,21.5703,56.40,102.09,52.25,50.07,1
15800000,-1.0479,1.7505,21.5666,60.91,82.49,54.61,51.83,1
15900000,-1.0933,1.7715,21.5589,103.18,64.45,53.59,54.50,1
16000000,-1.1384,1.7929,21.5472,144.29,52.70,54.27,54.94,1
16100000,-1.1832,1.8151,21.5316,151.12,51.56,52.75,52.78,1
16200000,-1.2276,1.8382,21.5119,128.18,63.44,50.03,53.39,1
16300000,-1.2714,1.8623,21.4883,90.48,82.20,54.17,54.22,1
16400000,-1.3145,1.8876,21.4607,59.25,109.65,54.45,52.89,1
16500000,-1.3569,1.9142,21.4292,59.36,134.46,53.18,51.76,1
16600000,-1.3982,1.9423,21.3937,90.63,146.19,50.44,50.34,1
16700000,-1.4384,1.9721,21.3542,129.12,149.64,54.32,51.24,1
16800000,-1.4773,2.0035,21.3109,149.99,137.14,54.12,51.05,1
16900000,-1.5146,2.0368,21.2637,149.59,112.06,51.72,52.66,1
17000000,-1.5502,2.0719,21.2126,120.56,76.31,52.45,52.00,1
17100000,-1.5838,2.1089,21.1576,96.49,59.12,53.45,51.12,1
17200000,-1.6152,2.1478,21.0988,66.53,66.41,50.59,52.49,1
17300000,-1.6441,2.1886,21.0362,56.99,90.41,52.09,51.91,1
17400000,-1.6702,2.2313,20.9698,55.66,135.31,53.34,51.92,1
17500000,-1.6932,2.2757,20.8996,73.83,157.72,53.32,50.76,1
17600000,-1.7130,2.3216,20.8258,90.33,135.03,54.36,53.03,1
17700000,-1.7291,2.3689,20.7482,107.01,93.57,54.05,52.09,1
17800000,-1.7413,2.4174,20.6669,121.91,61.01,54.02,51.14,1
17900000,-1.7493,2.4668,20.5820,130.41,68.62,51.49,54.33,1
18000000,-1.7530,2.5166,20.4935,130.93,107.59,53.32,51.32,1
18100000,-1.7520,2.5666,20.4014,125.21,145.50,50.87,53.07,1
18200000,-1.7463,2.6163,20.3058,126.03,152.98,51.16,51.18,1
18300000,-1.7357,2.6652,20.2067,116.11,114.00,50.67,52.10,1
18400000,-1.7202,2.7127,20.1042,96.76,63.35,51.55,52.94,1
18500000,-1.6997,2.7583,19.9982,73.87,60.02,53.30,51.00,1
18600000,-1.6743,2.8014,19.8889,57.18,84.57,54.24,54.83,1
18700000,-1.6443,2.8414,19.7762,55.11,120.43,51.38,51.23,1
18800000,-1.6099,2.8776,19.6602,73.26,149.39,54.91,53.81,1
18900000,-1.5713,2.9095,19.5411,105.64,150.22,52.18,50.78,1
19000000,-1.5292,2.9364,19.4187,145.54,143.21,52.65,52.26,1
19100000,-1.4841,2.9579,19.2932,150.20,128.09,50.96,51.86,1
19200000,-1.4365,2.9734,19.1646,131.60,114.22,51.24,52.29,1
19300000,-1.3874,2.9825,19.0329,83.12,108.46,53.15,50.31,1
19400000,-1.3374,2.9850,18.8983,52.15,104.44,52.18,51.52,1
19500000,-1.2876,2.9805,18.7608,80.09,109.88,50.84,52.71,1
19600000,-1.2389,2.9692,18.6203,120.45,119.09,53.39,53.64,1
19700000,-1.1924,2.9510,18.4771,155.81,134.21,53.07,54.93,1
19800000,-1.1489,2.9262,18.3311,147.65,154.98,50.35,53.88,1
19900000,-1.1096,2.8953,18.1824,114.26,152.87,50.08,51.52,1
20000000,-1.0755,2.8587,18.0310,82.88,133.10,51.70,52.93,2
20100000,-1.0473,2.8174,17.8771,65.20,98.20,53.46,52.17,2
20200000,-1.0259,2.7722,17.7206,52.35,60.03,51.67,54.17,2
20300000,-1.0120,2.7242,17.5617,59.41,61.35,54.65,50.86,2
20400000,-1.0059,2.6746,17.4003,54.58,100.52,53.22,53.82,2
20500000,-1.0080,2.6246,17.2367,57.74,143.27,53.09,51.09,2
20600000,-1.0183,2.5757,17.0708,54.30,152.63,52.27,50.08,2
20700000,-1.0367,2.5292,16.9026,62.16,117.66,50.83,50.39,2
20800000,-1.0627,2.4865,16.7324,66.71,75.05,52.08,52.29,2
20900000,-1.0956,2.4488,16.5601,102.48,58.40,54.83,54.43,2
21000000,-1.1346,2.4175,16.3858,135.09,55.03,52.11,54.21,2
21100000,-1.1784,2.3935,16.2095,152.62,75.60,53.53,50.20,2
21200000,-1.2258,2.3776,16.0314,133.32,83.76,54.66,52.68,2
21300000,-1.2753,2.3704,15.8515,88.55,93.22,50.48,50.15,2
21400000,-1.3253,2.3723,15.6699,59.63,89.89,53.53,51.43,2
21500000,-1.3740,2.3833,15.4867,64.50,75.94,50.92,50.40,2
21600000,-1.4200,2.4030,15.3019,112.62,63.15,53.45,50.59,2
21700000,-1.4615,2.4309,15.1156,141.28,59.57,50.26,53.98,2
21800000,-1.4970,2.4661,14.9279,152.93,69.15,52.22,50.38,2
21900000,-1.5253,2.5073,14.7388,142.76,100.91,54.10,51.81,2
22000000,-1.5453,2.5532,14.5485,129.36,137.62,53.72,52.52,2
22100000,-1.5562,2.6020,14.3570,121.33,153.43,50.31,51.20,2
22200000,-1.5576,2.6519,14.1644,121.88,122.85,50.87,50.59,2
22300000,-1.5493,2.7013,13.9707,125.76,79.60,52.55,52.57,2
22400000,-1.5316,2.7480,13.7761,140.70,53.72,51.78,54.68,2
22500000,-1.5052,2.7905,13.5806,157.87,72.49,52.82,50.89,2
22600000,-1.4710,2.8270,13.3843,148.19,99.72,51.91,50.08,2
22700000,-1.4303,2.8561,13.1873,122.09,132.30,51.27,53.01,2
22800000,-1.3848,2.8766,12.9896,72.96,142.10,53.28,50.08,2
22900000,-1.3360,2.8877,12.7913,53.71,152.04,51.12,50.91,2
23000000,-1.2860,2.8891,12.5926,74.90,148.54,52.24,52.10,2
23100000,-1.2368,2.8804,12.3934,123.82,151.85,51.51,51.90,2
23200000,-1.1902,2.8623,12.1940,154.97,137.23,51.67,51.15,2
23300000,-1.1482,2.8352,11.9942,149.96,111.00,54.52,52.66,2
23400000,-1.1123,2.8003,11.7943,114.97,80.79,50.69,50.01,2
23500000,-1.0842,2.7590,11.5944,89.88,59.92,54.49,50.91,2
23600000,-1.0647,2.7129,11.3944,74.68,68.83,52.47,51.32,2
23700000,-1.0549,2.6639,11.1944,61.35,111.26,54.62,50.95,2
23800000,-1.0549,2.6139,10.9947,67.64,151.89,50.69,53.24,2
23900000,-1.0649,2.5649,10.7951,68.57,150.09,54.84,54.08,2
24000000,-1.0843,2.5189,10.5959,94.02,112.82,52.44,50.82,2
24100000,-1.1125,2.4775,10.3970,119.07,75.44,50.92,53.23,2
24200000,-1.1483,2.4426,10.1987,150.28,52.28,51.51,54.55,2
24300000,-1.1902,2.4154,10.0008,149.75,54.76,53.73,53.18,2
24400000,-1.2366,2.3969,9.8036,122.73,71.60,51.08,50.98,2
24500000,-1.2858,2.3878,9.6072,77.64,75.85,50.81,50.95,2
24600000,-1.3358,2.3885,9.4115,55.03,73.08,54.08,50.02,2
24700000,-1.3847,2.3988,9.2166,76.72,69.37,53.48,54.11,2
24800000,-1.4307,2.4184,9.0227,120.10,55.83,52.78,54.65,2
24900000,-1.4721,2.4464,8.8298,153.73,55.00,51.67,52.39,2
25000000,-1.5075,2.4818,8.6380,153.67,76.01,53.43,50.51,2
25100000,-1.5354,2.5232,8.4474,140.48,110.38,54.53,52.23,2
25200000,-1.5551,2.5692,8.2581,122.53,149.28,50.42,50.98,2
25300000,-1.5658,2.6181,8.0700,107.92,149.06,50.13,50.19,2
25400000,-1.5673,2.6680,7.8834,110.88,106.45,52.77,50.38,2
25500000,-1.5595,2.7174,7.6982,117.68,68.74,51.46,53.72,2
25600000,-1.5429,2.7646,7.5146,129.90,61.94,54.08,50.18,2
25700000,-1.5180,2.8079,7.3326,148.38,84.92,54.02,50.31,2
25800000,-1.4857,2.8461,7.1523,153.72,128.05,53.03,50.18,2
25900000,-1.4471,2.8780,6.9738,137.78,150.90,52.79,54.37,2
26000000,-1.4036,2.9026,6.7971,94.02,152.13,51.69,51.72,2
26100000,-1.3565,2.9192,6.6223,56.28,151.40,53.36,54.96,2
26200000,-1.3071,2.9275,6.4495,66.30,145.55,52.24,51.13,2
26300000,-1.2571,2.9272,6.2788,101.30,153.88,53.20,51.41,2
26400000,-1.2079,2.9186,6.1101,149.76,149.20,54.96,52.96,2
26500000,-1.1607,2.9020,5.9437,150.45,157.01,54.38,50.50,2
26600000,-1.1170,2.8778,5.7795,124.48,143.21,50.28,51.78,2
26700000,-1.0776,2.8470,5.6176,87.93,125.96,53.82,50.57,2
26800000,-1.0437,2.8102,5.4581,56.56,92.75,53.73,52.13,2
26900000,-1.0159,2.7687,5.3010,52.02,59.88,52.74,52.34,2
27000000,-0.9949,2.7233,5.1465,60.25,56.74,52.88,53.38,2
27100000,-0.9810,2.6753,4.9945,73.84,96.03,51.87,50.66,2
27200000,-0.9744,2.6257,4.8451,72.89,139.04,52.72,50.23,2
27300000,-0.9751,2.5757,4.6985,79.47,147.64,51.45,54.92,2
27400000,-0.9829,2.5263,4.5546,66.94,115.66,50.00,54.11,2
27500000,-0.9977,2.4786,4.4134,60.62,77.36,51.89,54.93,2
27600000,-1.0188,2.4333,4.2752,54.93,52.74,52.03,54.36,2
27700000,-1.0459,2.3912,4.1399,65.99,70.05,51.91,53.49,2
27800000,-1.0783,2.3531,4.0075,85.94,104.15,54.36,50.84,2
27900000,-1.1153,2.3196,3.8782,124.91,138.99,51.76,54.01,2
28000000,-1.1563,2.2909,3.7519,149.92,153.20,54.98,54.78,2
28100000,-1.2005,2.2675,3.6288,148.09,149.37,52.65,53.47,2
28200000,-1.2472,2.2495,3.5089,116.35,149.94,53.67,54.89,2
28300000,-1.2956,2.2371,3.3921,65.75,135.03,53.13,52.66,2
28400000,-1.3451,2.2303,3.2787,58.09,135.12,51.71,51.75,2
28500000,-1.3951,2.2290,3.1685,87.44,135.11,52.68,52.13,2
28600000,-1.4450,2.2329,3.0618,132.67,135.44,51.20,54.95,2
28700000,-1.4941,2.2421,2.9584,158.54,139.78,52.33,50.33,2
28800000,-1.5421,2.2560,2.8585,133.21,150.88,54.84,51.75,2
28900000,-1.5886,2.2745,2.7620,88.06,152.45,53.03,50.66,2
29000000,-1.6331,2.2973,2.6691,61.86,151.80,50.73,50.26,2
29100000,-1.6754,2.3239,2.5797,62.43,134.24,51.34,53.99,2
29200000,-1.7153,2.3541,2.4940,90.12,105.07,52.81,51.61,2
29300000,-1.7526,2.3874,2.4118,127.51,78.25,51.11,50.88,2
29400000,-1.7871,2.4236,2.3334,147.95,58.85,52.79,52.51,2
29500000,-1.8188,2.4622,2.2586,153.76,66.18,52.26,54.86,2
29600000,-1.8478,2.5030,2.1875,137.12,93.35,54.45,54.28,2
29700000,-1.8739,2.5457,2.1203,116.73,134.81,53.37,53.66,2
29800000,-1.8972,2.5899,2.0567,95.08,154.12,50.16,50.49,2
29900000,-1.9179,2.6354,1.9970,78.76,141.75,50.32,51.83,2
30000000,-1.9360,2.6820,1.9411,64.70,91.03,53.18,53.36,3
30100000,-1.9516,2.7295,1.8891,60.08,62.31,50.14,52.72,3
30200000,-1.9650,2.7777,1.8409,53.58,65.34,54.91,54.26,3
30300000,-1.9762,2.8264,1.7967,51.75,106.48,50.86,50.61,3
30400000,-1.9854,2.8755,1.7563,59.19,150.48,51.26,50.11,3
30500000,-1.9928,2.9250,1.7199,59.03,150.62,50.16,51.69,3
30600000,-1.9986,2.9747,1.6874,63.73,112.19,53.22,52.97,3
30700000,-2.0030,3.0245,1.6589,71.82,73.52,51.16,50.06,3
30800000,-2.0062,3.0744,1.6343,67.47,56.98,54.29,53.47,3
30900000,-2.0084,3.1243,1.6137,74.25,90.50,51.24,52.02,3
31000000,-2.0097,3.1743,1.5971,71.35,135.30,54.67,50.79,3
31100000,-2.0104,3.2243,1.5844,72.94,154.80,54.60,50.37,3
31200000,-2.0106,3.2743,1.5758,78.88,129.04,51.12,51.90,3
31300000,-2.0106,3.3243,1.5712,72.00,84.80,51.99,54.14,3
31400000,-2.0106,3.3743,1.5705,76.69,56.49,52.39,51.36,3
31500000,-2.0108,3.4243,1.5739,79.28,73.83,51.08,52.14,3
31600000,-2.0113,3.4743,1.5813,75.81,118.83,50.48,53.66,3
31700000,-2.0124,3.5243,1.5926,74.54,155.54,55.00,51.15,3
31800000,-2.0142,3.5742,1.6080,75.66,143.30,52.44,51.34,3
31900000,-2.0171,3.6242,1.6273,85.32,97.54,54.64,53.06,3
32000000,-2.0210,3.6740,1.6506,79.67,60.19,53.48,54.86,3
32100000,-2.0264,3.7237,1.6779,90.47,69.95,50.01,51.66,3
32200000,-2.0333,3.7732,1.7091,93.99,108.08,50.08,53.42,3
32300000,-2.0419,3.8225,1.7443,100.86,149.71,51.86,54.62,3
32400000,-2.0525,3.8714,1.7834,112.17,151.06,54.62,52.42,3
32500000,-2.0651,3.9197,1.8264,122.52,108.99,53.20,52.06,3
32600000,-2.0800,3.9675,1.8733,141.07,66.81,51.41,52.13,3
32700000,-2.0973,4.0144,1.9241,149.58,57.97,52.53,54.98,3
32800000,-2.1171,4.0603,1.9788,158.11,82.87,51.85,53.81,3
32900000,-2.1396,4.1049,2.0373,154.09,127.68,53.90,54.32,3
33000000,-2.1649,4.1481,2.0996,141.05,157.63,55.00,53.41,3
33100000,-2.1929,4.1895,2.1657,106.40,148.46,52.04,51.74,3
33200000,-2.2237,4.2289,2.2356,81.54,119.44,50.67,50.93,3
33300000,-2.2574,4.2658,2.3092,62.55,83.18,51.02,53.70,3
33400000,-2.2938,4.3001,2.3865,61.37,62.54,54.10,53.75,3
33500000,-2.3328,4.3313,2.4674,86.77,54.75,53.26,51.51,3
33600000,-2.3744,4.3591,2.5520,122.83,73.35,53.14,53.79,3
33700000,-2.4183,4.3832,2.6403,149.89,88.14,54.45,52.06,3
33800000,-2.4641,4.4031,2.7320,149.33,105.80,53.74,54.68,3
33900000,-2.5117,4.4185,2.8274,111.58,120.66,53.22,50.97,3
34000000,-2.5605,4.4292,2.9262,61.50,132.20,52.53,52.43,3
34100000,-2.6102,4.4349,3.0285,60.47,136.12,52.56,54.84,3
34200000,-2.6602,4.4352,3.1342,99.53,141.29,54.04,50.52,3
34300000,-2.7099,4.4301,3.2432,136.54,135.63,53.89,52.36,3
34400000,-2.7588,4.4195,3.3556,151.01,127.04,52.36,52.65,3
34500000,-2.8061,4.4033,3.4713,128.84,110.33,50.17,52.28,3
34600000,-2.8512,4.3816,3.5903,80.24,88.17,53.19,51.83,3
34700000,-2.8932,4.3546,3.7124,60.26,70.34,51.79,52.14,3
34800000,-2.9316,4.3226,3.8376,57.62,56.25,52.49,51.67,3
34900000,-2.9655,4.2859,3.9660,89.69,63.28,52.89,50.16,3
35000000,-2.9944,4.2450,4.0974,117.94,100.92,54.16,54.12,3
35100000,-3.0175,4.2007,4.2318,138.37,140.83,53.01,53.81,3
35200000,-3.0343,4.1536,4.3691,145.16,158.71,50.61,53.89,3
35300000,-3.0444,4.1046,4.5093,152.04,120.62,50.39,54.08,3
35400000,-3.0474,4.0547,4.6523,155.49,78.28,51.34,53.62,3
35500000,-3.0431,4.0049,4.7981,155.65,51.85,54.63,52.02,3
35600000,-3.0315,3.9563,4.9466,142.02,78.60,51.16,50.31,3
35700000,-3.0127,3.9099,5.0978,132.74,122.68,53.06,50.89,3
35800000,-2.9871,3.8670,5.2515,107.47,152.37,53.94,50.20,3
35900000,-2.9550,3.8286,5.4078,75.44,154.23,51.06,51.98,3
36000000,-2.9173,3.7958,5.5665,52.69,133.18,53.68,54.61,3
36100000,-2.8749,3.7694,5.7277,62.82,100.15,52.59,52.23,3
36200000,-2.8287,3.7503,5.8911,104.73,90.64,52.22,51.42,3
36300000,-2.7799,3.7391,6.0569,148.57,71.47,54.83,54.42,3
36400000,-2.7300,3.7362,6.2248,155.25,75.96,54.05,51.64,3
36500000,-2.6803,3.7418,6.3949,119.82,73.93,52.92,54.33,3
